tweet, polarity, negative, neutral, positive, compound
gst give good growth momentum carsales july,positive,0.0,0.476,0.524,0.6705
kindly advise take suitable action make gst really good simple tax,positive,0.0,0.585,0.415,0.7501
gst bring level playing field widening tax compliance cut logistics cost improve supply chain efficiency boost eco long run,positive,0.081,0.538,0.381,0.7783
gst play bro clear idea,positive,0.0,0.375,0.625,0.6124
save mfrs yarn waste man made fibre reduce gst present par wd cotton yarn survvl stake,positive,0.123,0.573,0.304,0.6249
spoke hon bl minister hurtful impact gst waste agrees problem wastegst,negative,0.445,0.3,0.255,-0.5859
destocking amp discount ahead gst rollout hurt june qtr earnings june qtr sale bse company lowest least qtrs,negative,0.273,0.727,0.0,-0.7184
digital india showcasing glorious effect v r waitng bigger disappointment wid gst site god bless india,positive,0.147,0.446,0.406,0.7003
tsbjpexemeet gst good simple tax benefit system people greater extent,positive,0.0,0.455,0.545,0.8126
tsbjpexemeet modi govt also passed gst bill parliament gst well appreciated scholar academician economist,positive,0.0,0.69,0.31,0.6597
gst non ac small restaurant still charging please help u chkd right,positive,0.0,0.643,0.357,0.6124
gst funny video taya natha new comedy video vine video via,positive,0.0,0.625,0.375,0.6597
attened gst_conclave conference amazing gstsimplified gstfaqs gstfaqs gst newtrack newsalert,positive,0.0,0.703,0.297,0.5859
gst help improve gdp long run askarunthukral,positive,0.0,0.472,0.528,0.6808
etindustrynews consensus e way bill help ease transport good across state border yosoyj,positive,0.0,0.526,0.474,0.7964
consensus e way bill help ease transport good across state border,positive,0.0,0.464,0.536,0.7964
consensus e way bill help ease transport good across state border,positive,0.0,0.464,0.536,0.7964
consensus e way bill help ease transport good across state border,positive,0.0,0.464,0.536,0.7964
plan increase time limit paying gst beyond th aug keeping mind gstn ready trans,positive,0.0,0.714,0.286,0.5859
look like hotelier happiest gst sharp hike price name gst true profiteering acchhe din,positive,0.076,0.474,0.45,0.836
agenda next gst council meeting please publish benefit crore textile trader india thanks,positive,0.0,0.549,0.451,0.802
dat true even think time dat also gst place data n gst interlinked highly capable server r imp,positive,0.0,0.711,0.289,0.6901
jio take security deposit pay gst save million billion r year phone work,positive,0.087,0.562,0.35,0.6369
waste recycled due gst start accumulating landfill exacerbating pollution problem country wastegst,negative,0.355,0.645,0.0,-0.6705
sir please firstly understand one thing gst foolproof high level tac evasion possible gst,positive,0.0,0.71,0.29,0.5994
salaried individual r lakh annual turnover consultancy mostly interstate gst provide free software,positive,0.0,0.769,0.231,0.5106
gst midnight zero implement capital punishment rape retrospective,negative,0.568,0.432,0.0,-0.836
get gst registration online free india gst free registergst gstonline,positive,0.0,0.548,0.452,0.765
ha ha ha know exist gst go study something indirect tax past hidden n open,positive,0.0,0.604,0.396,0.7351
important thread understand gst hurting waste wastepickers thereby hurting swachhbharat cleanindia,negative,0.482,0.412,0.106,-0.7506
problem censor u gst tax vivegamcensor,negative,0.655,0.345,0.0,-0.6908
pm giving peanut frm hand eat side removing teeth ppl startupindia notbandi gst still respect bht buri mari hai,positive,0.0,0.648,0.352,0.8271
gst big positive economy benefit seen within month mannkibaat read,positive,0.0,0.548,0.452,0.765
pm giving peanut frm hand eat side removing teeth ppl startupindia notbandi gst still respect bht buri mari hai,positive,0.0,0.648,0.352,0.8271
good make people aware take job defence reform border infra demonetization gst black money issue,positive,0.0,0.751,0.249,0.5106
sir please confirm gst rate printed carton saying please help,positive,0.0,0.49,0.51,0.743
ido amp microsoft kaizala simple yet powerful solution small business manage accounting amp gst compliance,positive,0.0,0.718,0.282,0.6249
government come excellent vision gst registration concept compliance rating,positive,0.0,0.551,0.449,0.6908
u work gov gst gov devlop nation shame u upsc selection process questionable,negative,0.371,0.629,0.0,-0.6486
failure government ca advocate machine gst took month,negative,0.32,0.68,0.0,-0.5106
yes sir gst effect growth indian economical good good used progress india jai bharat,positive,0.0,0.393,0.607,0.9169
online accounting software gst inventory saas based application easy use offline online user gst ready,positive,0.079,0.635,0.286,0.5994
turnbull stalling new info reveals due stampede west aussie leaving drove gst refund even le,negative,0.261,0.739,0.0,-0.5574
indian fyi gst aadhar pan linking extended date form caused trouble server problem dept,negative,0.297,0.604,0.099,-0.5574
tax textile job work st july good recive july job apply gst finish job good,positive,0.0,0.691,0.309,0.7003
good move without tax invoice putting tax advance pmt cumbersome good moved,positive,0.0,0.633,0.367,0.7003
create gst tax invoice excel new gst invoice format excel gst bill format via,positive,0.0,0.576,0.424,0.7964
affirmation indian eco strength structural initiative like demonetization gst ibc code monsoon benefit rural eco,positive,0.0,0.58,0.42,0.8271
fair share gst malcom wa,positive,0.0,0.4,0.6,0.5423
unplaaned government harassing people always without prepartion implemented gst look income tax site ridiculous,negative,0.333,0.667,0.0,-0.7184
day ago truly defined gst good simple tax unify india economy gst transformation economy,positive,0.0,0.674,0.326,0.7003
thanks extension income tax return till th august hope happen gst website,positive,0.0,0.633,0.367,0.7003
get free trial toll free freetrial accounting billing software,positive,0.0,0.515,0.485,0.765
gst nominated second abused word last one month dombivili still keep first position mumbai mondaymotivation,negative,0.191,0.809,0.0,-0.5106
use many bill like gst others advantage use within limit use,positive,0.0,0.667,0.333,0.5423
honble modijee congrats ur greatns tremendous achivmnt demonetrisation gst also digital transcend jay hind bharat maataki jay,positive,0.0,0.825,0.175,0.5267
yeah even gst tax single good tax n different income tax depend much one earn,positive,0.0,0.702,0.298,0.6249
early ass gst impact tourism mahesh sharma early understand impact gst,negative,0.259,0.741,0.0,-0.5423
oracleebs gst join u aug financials india good service tax reverse charge mechanism advisor webcast,positive,0.0,0.702,0.298,0.6249
modi sir wht abt j amp k aftr gst rolled chnge lakhanpur toll price good gt mre high,positive,0.0,0.737,0.263,0.6124
early ass gst impact tourism read,negative,0.412,0.588,0.0,-0.5423
gst another scam demonetization bloody bjp govt killing business making everyone poor,negative,0.638,0.362,0.0,-0.9337
gst impact car best available car via,positive,0.0,0.588,0.412,0.6369
gst impact truck travel time interstate movement drop say govt via nmapp good relief,positive,0.11,0.576,0.314,0.5994
earlier solid rubber tyre classified however solid tyre indicated gst tariff please help,positive,0.0,0.523,0.477,0.7351
expecting miracle gst website,positive,0.0,0.441,0.559,0.5859
pls make sure site work better gst,positive,0.0,0.381,0.619,0.6705
sir income tax dept take around crore return year gst site expected crore invoice month hope ready,positive,0.0,0.735,0.265,0.6597
dear sir kindly revisit gst rate construction flat builder asking gst earlier huge load u,positive,0.0,0.576,0.424,0.7964
still waiting help tin number linked provisional gst registration number,positive,0.0,0.569,0.431,0.5106
agree sir really happy implement gst,positive,0.0,0.381,0.619,0.7574
opt composition scheme gst whether pay itc input tax credit stock hand,positive,0.086,0.556,0.358,0.6597
regret inconvenience due gst able provide spare part,negative,0.469,0.531,0.0,-0.6486
regret inconvenience due gst able provide spare part,negative,0.469,0.531,0.0,-0.6486
yes bro gst entertainment tax local body tax sure,positive,0.0,0.435,0.565,0.7783
support gst keep good work please,positive,0.0,0.275,0.725,0.7845
pl remove gst advance simplify attachd simple solution help ease business,positive,0.0,0.516,0.484,0.7579
nope little people like mentioned screwed unless fucked rule abolished gst,negative,0.543,0.457,0.0,-0.8592
added video playlist create gst bc tax invoice taxmann gst one solution software,positive,0.0,0.714,0.286,0.5267
reliance continues cheat clear cut loss gst x million govt exchequer almost ten time g national loss,negative,0.435,0.448,0.117,-0.7269
organised player lead real estate sector accelerated growth path restored confidence nri diaspora due rera gst,positive,0.0,0.61,0.39,0.8074
top best accounting software gst free amp paid,positive,0.0,0.35,0.65,0.8519
massive disruption dubious demonetisation amp confusion compounded gst fascist feku stumped routine return date,negative,0.519,0.481,0.0,-0.8689
gst new beginning mission india benefit gst reach common man grand manner,positive,0.0,0.559,0.441,0.7269
please clear gst rate tractor part hsn,positive,0.0,0.505,0.495,0.5994
gst big positive economy benefit seen within month said modi gstnews gstupdate exact,positive,0.0,0.625,0.375,0.765
tip win fmcg gst opportunity tale prakash sreewastav et retail,positive,0.0,0.548,0.452,0.765
compliance gst actually business gst structure fucked cant even start many sub clause gst,negative,0.253,0.747,0.0,-0.6597
gst heavy excise used b amp vat giving total gst good others wch,positive,0.0,0.654,0.346,0.6486
modi blamed dire economic condition keep hearing trader working class everyone suffering coz demo amp gst,negative,0.414,0.586,0.0,-0.8481
modi going china way increase export positive step economy revenue govt petroleum product amp gst high rate,positive,0.0,0.718,0.282,0.7096
early ass gst impact tourism minister,negative,0.412,0.588,0.0,-0.5423
sir gst originality started good thanks lot,positive,0.0,0.463,0.537,0.7003
improve capacity tax website grossly inadequate gst income tax site must capable supporting cr user,positive,0.2,0.435,0.365,0.5859
paid gst r food bill r thank modiji gst impoverish u way loving,positive,0.0,0.556,0.444,0.7506
gst gst mrp good good service tax started arindam mukherjee dated last replied,positive,0.0,0.655,0.345,0.7003
gst easy implement tax base expansion benefit jaitley,positive,0.0,0.504,0.496,0.7096
sir please kindly extend date least one month beacuse manage income tax gst website working last day,positive,0.0,0.66,0.34,0.7351
opposition party always thinking negatiive people dont think like opposition party think positive gst good everyone thanku pmji,positive,0.076,0.433,0.491,0.8883
someone please help,positive,0.0,0.167,0.833,0.6124
someone please help,positive,0.0,0.167,0.833,0.6124
heightofterroirism gst ammunition target muslim friendly neighbour country target chinese support economy,positive,0.0,0.629,0.371,0.7096
matter much charm wa vote improve gst allocation improves auspol,positive,0.0,0.387,0.613,0.8176
think wasting time trying decode gst qtr result much like demon period disruption de stocking affected co,negative,0.305,0.583,0.112,-0.5106
early ass gst impact tourism maheshsharma,negative,0.412,0.588,0.0,-0.5423
stealing gst see bill,negative,0.552,0.448,0.0,-0.5719
nareshola narendramodi_in narendramodi please note gst mean good amp service tax single tax introd,positive,0.0,0.698,0.302,0.6369
come bangalore hotel income lakh per day sure clearly written gst applies pay card,positive,0.08,0.632,0.287,0.5574
please note gst mean good amp service tax single tax introduced replace major indirect tax levied central amp state level,positive,0.0,0.776,0.224,0.6369
gst compliance cloud solution set clear favourite enterprise,positive,0.0,0.55,0.45,0.5994
industry people getting bill raw material solution please guide,positive,0.0,0.603,0.397,0.5574
rollout successful abt business making lot money selling old item gst increased mrps,positive,0.0,0.651,0.349,0.7096
dear sir good afternoon decision gst good bharat benefit country conman man,positive,0.0,0.412,0.588,0.886
dear please issue circular merchant display valid gst number shop,positive,0.0,0.53,0.47,0.6369
sure clarity way w r gst refund cost airline go due gst,positive,0.0,0.615,0.385,0.6124
affected new uae vat regime failing prepare preparing fail,negative,0.583,0.417,0.0,-0.8126
affected new uae vat regime failing prepare preparing fail,negative,0.583,0.417,0.0,-0.8126
affected new uae vat regime failing prepare preparing fail,negative,0.583,0.417,0.0,-0.8126
wholesale agent buy b registered agent second hand good sell c manufacture gst applicability,positive,0.0,0.621,0.379,0.7269
dear sir pls look gst many merchant taking advantage applying gst mrp,positive,0.0,0.604,0.396,0.5994
gst supposed reduce corruption increased significantly restaurant accepting cash charging tax,positive,0.0,0.657,0.343,0.5719
dare u insult gujarat gst brand ambassador wanna get lynched,negative,0.292,0.708,0.0,-0.5106
implementation gst increased st april st july last date itr may incresed three month public interest,positive,0.0,0.733,0.267,0.6249
sir u r supposed categorize furniture like medical thing bcz everyone buy luxurious good paying tax,positive,0.0,0.69,0.31,0.6597
gst new india amp create job youth india hv started training free amp ur dream train lac youth need ur support,positive,0.0,0.627,0.373,0.8442
wrong make generalise statement several issue involved dependence ca gst pressure delay form employee,negative,0.409,0.591,0.0,-0.765
early ass gst impact tourism mahesh sharma,negative,0.368,0.632,0.0,-0.5423
yeah sure website work wonder happen gst system problem like continue year year,positive,0.144,0.481,0.374,0.5106
cbec clarified exporter eligible refund gst compensation ce respect good exported,positive,0.0,0.6,0.4,0.7184
gst council may raise e way bill floor r prevent harassment economic time india gst business,negative,0.211,0.723,0.066,-0.5267
wow also watch fun gst filing perhaps first time may crash mths extra time,positive,0.13,0.529,0.341,0.6597
gst big positive economy benefit seen within month narendra modi mann ki baat,positive,0.0,0.625,0.375,0.765
ashuij please help gst sport coaching seems changed v st,positive,0.0,0.583,0.417,0.6124
destocking discount ahead gst rollout hurt june quarter earnings q stock market,negative,0.254,0.746,0.0,-0.5267
early ass gst impact tourism minister,negative,0.412,0.588,0.0,-0.5423
farm suicide joblessness demo disaster gst mayhem low gdp say cong politics yes becoz ur governance,negative,0.421,0.472,0.106,-0.8402
buyer raise debit note seller kind recovery price yes handel gst return,positive,0.0,0.621,0.379,0.7269
pm say gst promote culture honesty,positive,0.0,0.408,0.592,0.7003
also govt gave last date today file else penalty imagine gst return problem,negative,0.341,0.659,0.0,-0.6908
ho amp li ka shing also part owner nokia amp hutchinson vodafone bermuda compensate national party lack coverage gst free phone,positive,0.087,0.684,0.228,0.5719
avoid gst eat road side sleep platform shit open buy open market,negative,0.367,0.633,0.0,-0.7003
respected pm gst great overall detail killing make sustainable hand crafted object please urge meet specifically,positive,0.157,0.391,0.452,0.8074
early ass gst impact tourism mahesh sharma,negative,0.368,0.632,0.0,-0.5423
navin kumar gstn gst help desk solve issue pertaining gst,positive,0.0,0.64,0.36,0.5423
submitted detailed representation gst flaw difficulty handicraft sector acknowledged pmo many artisan troubled,negative,0.329,0.671,0.0,-0.6597
yes sir supported gst till bel gzb psu stalled project taxe rate increased want price revewal,positive,0.085,0.519,0.396,0.6808
cry paying gst tax customer pay get list medicine online,negative,0.36,0.64,0.0,-0.5423
please charge gst lab instrument purchased education institute research encourage local manufacturer,positive,0.0,0.641,0.359,0.6808
early ass gst impact tourism say minister state culture amp tourism,negative,0.259,0.741,0.0,-0.5423
early ass gst impact tourism sharma,negative,0.412,0.588,0.0,-0.5423
join gofrugal gst free online training webinars gofrugalgst digitalindia gstfiling gsttax,positive,0.0,0.621,0.379,0.6705
madam educational institution import lab instrument custom duty gst etc encouraging import,positive,0.0,0.764,0.236,0.5267
thing work good intention heart gst got people tax tax site support dream go digital india,positive,0.0,0.631,0.369,0.765
gst reform make country citizen rich together must support supportgst,positive,0.0,0.559,0.441,0.743
gst delivery charge coupan discout deducted cart value go payment page coupan discount disappear gt gt,positive,0.093,0.585,0.322,0.5719
sir educational institution govt charging custom duty charge gst etc encouraging import,positive,0.0,0.764,0.236,0.5267
discus take advantage new gst scenario market business panel discussion esteemed panel via nd aug,positive,0.0,0.726,0.274,0.5994
sir gst definitely good tax simple time hope get simplified time,positive,0.0,0.485,0.515,0.8176
sooo happy got hand amp managed treat family foodiez gst money got,positive,0.0,0.484,0.516,0.8625
acrdng letter road drain construction mp put gst free service kindly take decision sir,positive,0.0,0.649,0.351,0.7579
kindly resolve issue,positive,0.0,0.147,0.853,0.7003
kindly explain free good definition pharma whether gst b free good also gst b free sample,positive,0.0,0.297,0.703,0.9578
sir study properly know gst reduced price beneficial economic growth,positive,0.0,0.593,0.407,0.6705
successful rollout gst case study also example cooperative federalism decision taken centre amp state,positive,0.0,0.774,0.226,0.5859
hate understand,negative,0.787,0.213,0.0,-0.5719
determining rate tax tariff value relevant charging gst actual value net discount considered,positive,0.0,0.696,0.304,0.5859
good outlet increased price becoz gst,positive,0.0,0.444,0.556,0.6124
gst registration power given centre eto agains harassed issuing gstin certificate issue unnecessary show cause notice,negative,0.189,0.811,0.0,-0.5423
many mla bihar criminal case gst,negative,0.405,0.595,0.0,-0.5267
believe next quarter hypercity ebitda positive food price eventually come gst hypercity,positive,0.0,0.753,0.247,0.5574
kindly explain free good definition pharma whether gst b free good also gst b free sample,positive,0.0,0.297,0.703,0.9578
good bad ugly india new national gst journey,negative,0.463,0.34,0.197,-0.5994
dear sir question stated known fact please check answer question,positive,0.0,0.62,0.38,0.5994
new tax structure india gst clear small business organisation good idea launch lot issue,positive,0.0,0.686,0.314,0.6705
sir taking digital india suffers problem infra income tax amp gst site woking,negative,0.345,0.655,0.0,-0.7003
yes truly gst,positive,0.0,0.152,0.848,0.6808
facing problem obtaining ut gst rcmc accepted bg bond insisted chief comm accepts bg export held help,positive,0.118,0.57,0.311,0.5267
ab gst ke ad dekhunga tumnhe happy birthday,positive,0.0,0.654,0.346,0.5719
end product loaded multipication maximum gst ultimately poor common man bear burden,negative,0.375,0.625,0.0,-0.7184
killing u mr modi,negative,0.688,0.312,0.0,-0.6597
gst game start thala thoonganagaram ajith fan madurai thala fort sai sai waiting eagerly vivegam,positive,0.0,0.726,0.274,0.5994
true bjp opposed gst passed bill celebrated passage know better,positive,0.0,0.427,0.573,0.8555
dear sir gst good taking direct cash payment like big doctor teacher many,positive,0.0,0.556,0.444,0.7906
developer agent would equally enjoy many benefit offered legislation rera amp gst,positive,0.0,0.617,0.383,0.7351
friend office gurgaon amp keep product third party warehouse ghaziabad state gst apply,positive,0.0,0.651,0.349,0.7096
facing problem obtaining ut gst rcmc accepted bg bond insisted chief comm accepts bg export held help,positive,0.118,0.57,0.311,0.5267
facing problem obtaining ut gst rcmc accepted bg bond insisted chief comm accepts bg export held help,positive,0.118,0.57,0.311,0.5267
better implementation amp compliance gst finmin ensure extension itr filing date st dec,positive,0.0,0.667,0.333,0.6705
better implementation amp compliance gst finmin ensure extension itr filing date st dec,positive,0.0,0.667,0.333,0.6705
respected pm feel good rto sale tax officer gst ke naam per luet te hai assam bengal ke,positive,0.0,0.727,0.273,0.7184
gst tax free,positive,0.0,0.377,0.623,0.5106
early ass gst impact tourism minister,negative,0.412,0.588,0.0,-0.5423
fear turnbull downplays gst woe trip west state face another revenue blow time bn via,negative,0.316,0.684,0.0,-0.7184
lesson strategy policy good execution well done gst team,positive,0.0,0.583,0.417,0.6124
concerned good govt australian best prevent look like gone,positive,0.0,0.318,0.682,0.8658
ticket gst compliant yes please explain,positive,0.0,0.444,0.556,0.6124
sir gst impose strictly black money economy destroyed,negative,0.474,0.526,0.0,-0.6597
early ass gst impact tourism mahesh sharma,negative,0.368,0.632,0.0,-0.5423
dear sir request extend last date income tax filing day considering demonetization gst migration etc lot cope,positive,0.0,0.777,0.223,0.5106
yes agree gst good economy way pls change amp make easy even businessmen gst work easily,positive,0.0,0.405,0.595,0.9136
disastrous demonetisation unplanned gst bjp scared fair election hearing news poaching lynching,negative,0.376,0.497,0.127,-0.6705
facing problem obtaining ut gst rcmc accepted bg bond insisted chief comm accepts bg export held help,positive,0.118,0.57,0.311,0.5267
demonetisation total disaster indian people amp economy gst seems following path,negative,0.291,0.709,0.0,-0.6249
gst strike sad chord musical instrument maker kolkata news kolkata,negative,0.365,0.635,0.0,-0.5574
gst teething problem disappear soon,negative,0.605,0.395,0.0,-0.5574
added video playlist gst girlfriend service tax champu amp gotiya hilarious comedy,positive,0.0,0.658,0.342,0.6369
planning amp automating gst today generate long term gain amp extends helping hand gst compliance,positive,0.0,0.516,0.484,0.8519
early ass gst impact tourism minister responding supplementaries lok sabha tourism,negative,0.259,0.741,0.0,-0.5423
asptax offer solution gst compliance amp tax determination business amp tax consultant aspgstsoftware,positive,0.0,0.688,0.312,0.6124
gst big positive economy benefit seen within month narendra modi mann ki baat,positive,0.0,0.625,0.375,0.765
ambala haryana beopar mandal threatened launch agitation centre fails make amendment gst,negative,0.464,0.536,0.0,-0.7783
fear post gst chaos seem unjustified,negative,0.633,0.367,0.0,-0.7845
medium welcome passage landmark good service tax gst bill gujarat assembly,positive,0.0,0.526,0.474,0.7351
gujarat assembly pass state good service tax bill unanimously day long special session gandhinagar tuesday gstbill,positive,0.0,0.714,0.286,0.6808
value added tax vat european union general broadly based consumption tax assessed value added good service,positive,0.0,0.628,0.372,0.7717
two day workshop conference hall cfti chennai gst good service tax hand ppdc agra industry entrepreneur,positive,0.0,0.697,0.303,0.7269
canadian fine tax rate price good service come even trump belief universal hc,positive,0.0,0.701,0.299,0.5719
good tax service gst becomes online tax payer ease realestate homebuyers,positive,0.0,0.625,0.375,0.6597
good service tax bad ugly taxmovies,negative,0.535,0.236,0.228,-0.5994
vibrant india volume number x good service tax one country one tax,positive,0.0,0.513,0.487,0.765
hi join whatsup group discus issue information related good service tax gst share whatsup number joining gst g,positive,0.0,0.602,0.398,0.765
transitioning business gst know ey help gsp asp solution detail,positive,0.0,0.615,0.385,0.6124
live say nationwide good service tax gst transform economy create one india market adbyokohama adb,positive,0.0,0.722,0.278,0.6124
mcd poll delhi government first task ensure smooth transition good service tax regime july,positive,0.0,0.686,0.314,0.6705
gst eight state passed state good service tax sgst act respective state assembly le month time,positive,0.0,0.711,0.289,0.6908
speaking good service tax one day special session haryana vidhan sabha chandigarh gstbill,positive,0.0,0.663,0.337,0.6808
aware demon uttar pradesh cabinet approves implementation good service tax gst,positive,0.0,0.616,0.384,0.6808
lame servicing misery take good service tax food,negative,0.451,0.347,0.201,-0.5574
good service tax advantage impact gst,positive,0.0,0.449,0.551,0.5994
state cabinet approves formulation section state good service tax manipurtimes,positive,0.0,0.588,0.412,0.6808
people accept long tax liability real good amp service buy,positive,0.126,0.49,0.385,0.5719
small business owner offer good service online platform may part sharing economy,positive,0.0,0.637,0.363,0.6908
good service tax india set gain new fiscal structure,positive,0.0,0.526,0.474,0.743
yes tax see happens raise rent cost good service punter like u pay,positive,0.08,0.457,0.463,0.7717
margwithgst good service tax help push growth say imf point via,positive,0.0,0.494,0.506,0.802
certain item speculation becoming cheap good service tax roll easy,positive,0.0,0.47,0.53,0.7845
liked video gst good service tax video,positive,0.0,0.467,0.533,0.6908
uttar pradesh cabinet approves implementation good service tax,positive,0.0,0.517,0.483,0.6808
small business owner offer good service online platform may part sharing,positive,0.0,0.612,0.388,0.6908
attempt make gstr filing easy gstfornewindia gstr gstsimplified pls share help others,positive,0.0,0.468,0.532,0.7964
clarity gstsimplified accounting startup innovation digitalindia gst,positive,0.0,0.485,0.515,0.6486
finally surat mein khushi ki laher gst textile surat business gstsimplified congratulation garment jobwork augustwish,positive,0.0,0.782,0.218,0.5994
gstsimplified gst brought profit essential industry owner like hotilers collect gst amp reduced pric ndtv,positive,0.0,0.707,0.293,0.6597
attened gst_conclave conference amazing gstsimplified gstfaqs gstfaqs gst newtrack newsalert,positive,0.0,0.703,0.297,0.5859
gstsimplified simplified even working properly active pan linked aadhar accepted gstportal,positive,0.0,0.652,0.348,0.5859
gst gstsimplified awesome registered online gst number le day gst received,positive,0.0,0.625,0.375,0.6597
solution gstsimplified gstfornewindia startupindia startupkarnataka saas accountant digitalindia solution,positive,0.0,0.603,0.397,0.5574
gstsimplified calculate gst good value plus delivery charge rate gst good gst delivery,positive,0.0,0.549,0.451,0.802
hyundai motor india limited eye upon gst better growth gstsimplified risingrajasthan gsthelpdesk gst,positive,0.109,0.575,0.316,0.5574
let u help decode gst register free webinar tomorrow pm ist gstfaqs gstsimplified,positive,0.0,0.625,0.375,0.7184
gstsimplified impact positive node result visible hope much come,positive,0.0,0.519,0.481,0.7579
form bihar acceptable gstsimplified promised entry barrier state,positive,0.133,0.442,0.425,0.5106
thank much amp field office fully committed serve taxpayer implementation gst gstsimplified,positive,0.0,0.671,0.329,0.5984
gstfornewindia gstrollout gstsimplified please help reconsider,positive,0.0,0.444,0.556,0.6124
free sample qualify supply good know arun gupta expert dia gstsimplified gstwithdia,positive,0.0,0.617,0.383,0.7351
govt asks dm act trade giving gst benefit consumer gstfornewindia gstsimplified mygstmitra,positive,0.0,0.649,0.351,0.6597
business confidence jul sep decline gst teething issue say report mygstmitra gstfornewindia gstsimplified,positive,0.0,0.784,0.216,0.5106
fashion lifestyle brand want share gst gain department chain gstfornewindia gstfaqs gstsimplified,positive,0.0,0.566,0.434,0.7096
gstsimplified word work complicated price rice india going suffer,negative,0.304,0.696,0.0,-0.5423
true illustration superb gstsimplified lol,positive,0.0,0.171,0.829,0.8658
gst real impact known commonman entertains family weekend gstforcommonman gstfornewindia gstsimplified,positive,0.0,0.746,0.254,0.5267
relaxation gst return filing gstsimplified gstboostforbiz gstforcommonman,positive,0.0,0.638,0.362,0.5267
